Description,total_revenue,total_quantity,total_orders,avg_unit_price,revenue_pct,cumulative_pct,ABC_Class,rank
DOTCOM POSTAGE,206248.77,706,706,292.13706798866855,1.9335789780716321,1.9335789780716321,A,1
REGENCY CAKESTAND 3 TIER,174484.74,13879,1988,13.97692612791274,1.6357916959131171,3.569370673984749,A,2
"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,2.08,1.579399852925846,5.148770526910595,A,3
WHITE HANGING HEART T-LIGHT HOLDER,106292.77,37891,2256,3.2169479121825226,0.9964930486276502,6.145263575538245,A,4
PARTY BUNTING,99504.33,18295,1685,5.794273153575616,0.932851530290835,7.07811510582908,A,5
JUMBO BAG RED RETROSPOT,94340.05,48474,2089,2.48545928030303,0.8844364864344485,7.962551592263528,A,6
MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033,247,1.46848,0.7659448412764459,8.728496433539974,A,7
MANUAL,78112.82,7225,290,230.1514906832298,0.7323064601543726,9.460802893694346,A,8
POSTAGE,78101.88,3150,1126,31.076580817051514,0.732203897826267,10.193006791520613,A,9
RABBIT NIGHT LIGHT,66964.99,30788,994,2.3805019305019304,0.6277957290643579,10.820802520584971,A,10
PAPER CHAIN KIT 50'S CHRISTMAS,64952.29,19355,1160,3.356833333333334,0.6089266981888536,11.429729218773824,A,11
ASSORTED COLOUR BIRD ORNAMENT,59094.93,36461,1455,1.7222901276024176,0.5540140402224684,11.983743258996292,A,12
CHILLI LIGHTS,54117.76,10306,661,6.789522388059702,0.507353149676121,12.491096408672412,A,13
SPOTTY BUNTING,42548.130000000005,8327,1140,5.521977547495682,0.3988880502136277,12.88998445888604,A,14
JUMBO BAG PINK POLKADOT,42436.24,21465,1219,2.596114701130856,0.39783908322169637,13.287823542107736,A,15
BLACK RECORD COVER FRAME,40652.13,11656,375,4.211899736147757,0.38111308000447774,13.668936622112213,A,16
PICNIC BASKET WICKER 60 PIECES,39619.5,61,2,649.5,0.3714321899796495,14.040368812091863,A,17
DOORMAT KEEP CALM AND COME IN,38166.64,5491,728,8.774136054421769,0.357811650307674,14.398180462399537,A,18
SET OF 3 CAKE TINS PANTRY DESIGN,38158.39,7493,1385,5.829292351679771,0.3577343066873019,14.75591476908684,A,19
JAM MAKING SET WITH JARS,37128.88,8706,1132,5.071866783523225,0.3480826666134506,15.10399743570029,A,20
WOOD BLACK BOARD ANT WHITE FINISH,36030.22,6020,685,8.439039301310043,0.33778274637611694,15.441780182076407,A,21
LUNCH BAG RED RETROSPOT,35752.01,19353,1564,2.1277979924717694,0.33517453199748426,15.776954714073891,A,22
POPCORN HOLDER,34298.87,36761,803,1.020012062726176,0.3215513673299083,16.0985060814038,A,23
VICTORIAN GLASS HANGING T-LIGHT,33187.97,24304,1037,1.6431041069723018,0.31113669728489524,16.409642778688696,A,24
HOT WATER BOTTLE TEA AND SYMPATHY,33002.590000000004,5747,643,5.018784615384615,0.30939876269767363,16.719041541386368,A,25
PAPER CHAIN KIT VINTAGE CHRISTMAS,32873.340000000004,10604,820,3.3641885441527446,0.3081870459785109,17.027228587364878,A,26
CHOCOLATE HOT WATER BOTTLE,32866.18,6025,858,6.0649772727272735,0.30811992109101216,17.33534850845589,A,27
JUMBO BAG STRAWBERRY,32802.53,17319,822,2.4112470023980817,0.3075232033411111,17.642871711797003,A,28
HEART OF WICKER SMALL,32107.8,17971,1201,1.9579445350734095,0.30101012050703796,17.94388183230404,A,29
SET OF 3 REGENCY CAKE TINS,31177.95,6357,873,5.877074829931972,0.2922927913672816,18.23617462367132,A,30
JUMBO STORAGE BAG SUKI,30770.12,13654,1184,2.7448370927318297,0.2884693915252997,18.52464401519662,A,31
ALARM CLOCK BAKELIKE RED,30701.12,7815,1051,4.389050279329609,0.28782251760946037,18.81246653280608,A,32
JUMBO BAG APPLES,30475.65,14920,978,2.568937246963563,0.28570873990215184,19.098175272708232,A,33
